age,annual_income,monthly_savings,emergency_fund,risk_appetite,investment_goal,existing_investment_pct,debt_allocation,equity_allocation,mutual_fund_allocation
32,772340,10908,79055,Low,Emergency Fund,0.243,20.44,47.54,32.01
30,578306,11184,125318,High,Tax Saving,0.097,11.07,50.61,38.33
41,509556,11964,71822,High,Property Purchase,0.072,13.91,65.68,20.41
31,412707,9917,133279,High,Wealth Creation,0.167,12.92,67.2,19.89
23,300000,7110,36187,Medium,Education,0.016,4.62,46.4,48.98
28,565196,13483,87226,Medium,Wealth Creation,0.206,14.79,66.43,18.78
33,2534577,51678,187946,Medium,Tax Saving,0.108,4.73,56.98,38.29
41,1043516,29171,58342,Low,Retirement,0.15,34.15,41.78,24.07
36,1770371,23119,266069,Low,Retirement,0.071,32.22,45.7,22.08
25,786057,11959,23919,Low,Property Purchase,0.207,21.38,49.14,29.49
50,2341142,43930,212188,High,Tax Saving,0.168,12.77,48.77,38.46
34,300000,3618,7237,Medium,Wealth Creation,0.161,15.34,63.22,21.44
42,837269,16577,75115,Low,Wealth Creation,0.097,24.34,48.17,27.48
30,1576647,22188,194391,High,Tax Saving,0.213,10.89,50.01,39.1
36,607901,9629,19259,Low,Wealth Creation,0.119,22.6,53.37,24.02
38,2642724,26423,68952,Medium,Tax Saving,0.183,4.85,56.25,38.89
41,2420448,65357,191618,Medium,Tax Saving,0.066,4.99,54.13,40.88
40,725592,12240,90035,Low,Wealth Creation,0.028,21.71,50.51,27.79
38,683542,16872,66847,Medium,Wealth Creation,0.019,13.79,66.93,19.28
29,373958,5167,13581,Low,Wealth Creation,0.233,15.2,60.46,24.34
27,435673,4566,29923,Low,Wealth Creation,0.181,18.45,60.52,21.03
34,389747,4842,18199,Low,Short-Term,0.144,36.45,28.26,35.29
39,1211446,22132,44264,Low,Emergency Fund,0.057,27.14,42.03,30.84
30,300000,7507,15015,High,Short-Term,0.074,24.72,46.39,28.89
40,1383440,19638,39277,Low,Retirement,0.103,34.29,40.87,24.84
43,1516751,28361,56723,Medium,Retirement,0.166,10.48,53.42,36.1
24,300000,5834,22413,Low,Wealth Creation,0.154,17.09,57.98,24.93
25,1476484,32329,159557,High,Short-Term,0.089,25.93,42.79,31.28
30,982486,14389,61662,Medium,Tax Saving,0.104,4.61,58.39,37.0
34,1272490,22954,45909,Low,Retirement,0.224,23.34,52.19,24.47
27,409192,10397,116018,Medium,Tax Saving,0.054,4.71,57.47,37.82
42,1482399,22712,135963,Low,Wealth Creation,0.03,23.49,51.44,25.07
35,1640972,29771,96770,Low,Tax Saving,0.21,21.34,40.3,38.36
32,714349,7405,27476,Medium,Retirement,0.072,4.76,63.67,31.56
20,1538383,27914,246974,Medium,Tax Saving,0.195,4.7,58.27,37.03
21,499879,7705,22618,Medium,Tax Saving,0.136,4.56,58.49,36.95
34,1598475,23253,48213,Medium,Emergency Fund,0.078,4.78,57.99,37.22
18,476882,11044,39051,Medium,Retirement,0.138,4.64,63.6,31.75
40,1353476,32259,138640,Low,Retirement,0.097,37.68,40.95,21.37
30,300000,8502,35077,Medium,Short-Term,0.071,4.44,35.24,60.32
50,1499233,28948,113168,Low,Retirement,0.081,42.16,35.07,22.77
50,772082,17812,42814,High,Emergency Fund,0.029,14.84,65.2,19.96
30,429506,6141,30617,Medium,Emergency Fund,0.09,4.47,59.37,36.16
31,2075108,45875,167300,Low,Wealth Creation,0.115,15.76,56.36,27.88
39,834864,21424,56948,Low,Wealth Creation,0.154,20.48,52.15,27.37
45,597368,8938,93777,High,Retirement,0.122,13.58,64.96,21.47
18,340515,4667,9335,Medium,Education,0.198,4.47,47.2,48.33
18,300000,2780,5560,Medium,Wealth Creation,0.023,11.84,64.89,23.26
27,1478865,32881,188531,Medium,Wealth Creation,0.114,12.72,65.69,21.6
36,570839,6442,12884,Medium,Short-Term,0.181,4.86,35.69,59.46
35,1166870,30824,150354,Low,Short-Term,0.081,39.25,27.02,33.73
40,2174834,58414,501747,Medium,Tax Saving,0.056,5.36,55.68,38.96
22,377827,5364,49650,Medium,Emergency Fund,0.066,4.58,58.55,36.87
18,550418,12758,34090,High,Retirement,0.082,11.33,69.52,19.16
38,496738,6278,16957,Low,Emergency Fund,0.071,27.06,43.66,29.28
25,2535079,45583,155818,Low,Emergency Fund,0.101,18.64,48.33,33.03
18,701550,13325,26651,High,Short-Term,0.09,22.44,46.98,30.58
33,693994,13740,27481,Medium,Retirement,0.075,4.76,63.26,31.98
38,571487,8689,17378,Low,Tax Saving,0.145,22.79,39.61,37.6
31,677619,9957,24400,Low,Property Purchase,0.112,21.86,47.05,31.09
28,536930,9200,24157,Medium,Wealth Creation,0.142,14.64,64.93,20.44
30,2317893,23885,56625,Medium,Emergency Fund,0.209,4.73,58.54,36.73
29,323985,6548,17075,Medium,Wealth Creation,0.249,13.74,65.39,20.86
21,520859,7539,59863,High,Wealth Creation,0.114,13.2,65.47,21.33
26,600421,13064,82485,Medium,Retirement,0.131,4.63,64.31,31.06
36,796147,9361,29943,Low,Short-Term,0.226,40.98,25.05,33.96
34,762957,11989,29200,Low,Short-Term,0.162,40.22,27.92,31.86
33,730896,8366,24696,High,Retirement,0.177,13.42,66.37,20.2
24,930312,17811,103639,High,Wealth Creation,0.193,13.35,65.93,20.72
30,1028495,28369,56738,Low,Retirement,0.107,22.2,52.99,24.81
18,514302,5778,44064,Low,Emergency Fund,0.156,20.69,50.49,28.81
33,300000,4661,59122,High,Retirement,0.013,14.45,66.27,19.28
43,1239891,18297,187784,Low,Short-Term,0.094,49.12,25.02,25.87
20,300000,4811,12794,Medium,Education,0.088,4.7,46.06,49.24
27,932593,13720,27440,High,Education,0.074,22.0,58.6,19.4
34,1976126,29817,59635,High,Short-Term,0.042,23.58,45.67,30.75
42,573971,8052,23929,Low,Wealth Creation,0.071,22.23,49.38,28.39
28,564369,12911,25822,Medium,Tax Saving,0.183,4.61,59.57,35.81
26,426828,4607,12179,High,Wealth Creation,0.067,14.25,65.96,19.79
18,839430,18156,36312,Medium,Wealth Creation,0.289,12.02,67.54,20.44
32,815906,9255,106626,Low,Emergency Fund,0.045,23.11,46.86,30.03
48,3000000,31677,63355,Low,Emergency Fund,0.18,30.27,37.5,32.23
34,1032440,25549,146915,High,Tax Saving,0.102,8.7,52.24,39.05
31,862283,15631,93611,Low,Wealth Creation,0.136,16.16,57.85,25.99
34,848437,17125,34251,Medium,Tax Saving,0.207,4.61,56.47,38.92
31,1221587,27820,55640,Medium,Emergency Fund,0.049,4.61,57.69,37.7
25,300000,2907,17284,High,Short-Term,0.097,22.91,48.55,28.53
38,962712,10115,24751,Medium,Wealth Creation,0.051,15.33,63.14,21.53
33,762426,9484,78616,Medium,Short-Term,0.138,4.77,33.68,61.55
32,1164457,24764,124858,Medium,Wealth Creation,0.104,12.57,65.57,21.86
24,495821,7469,21336,Medium,Property Purchase,0.068,4.55,58.74,36.72
42,541942,9902,36817,Low,Emergency Fund,0.129,28.58,41.26,30.16
37,886843,17362,42299,High,Short-Term,0.148,22.99,45.84,31.17
27,333903,5918,11836,High,Emergency Fund,0.092,13.58,65.27,21.15
40,300000,8107,41206,Medium,Retirement,0.117,6.5,53.81,39.69
28,1006257,23065,162779,High,Wealth Creation,0.101,13.14,66.29,20.58
25,840201,19416,92826,Medium,Wealth Creation,0.068,11.73,68.94,19.34
25,791511,14727,91505,Medium,Property Purchase,0.011,4.54,58.28,37.18
18,874123,21853,57735,Medium,Tax Saving,0.066,4.55,57.07,38.38
35,566512,12677,25355,Medium,Tax Saving,0.123,4.95,58.52,36.53
18,300000,7741,15483,Medium,Wealth Creation,0.076,11.54,66.86,21.61
22,483560,11554,48937,High,Wealth Creation,0.084,12.99,66.91,20.1
18,324720,5926,15093,High,Wealth Creation,0.137,14.61,65.03,20.36
31,442073,6370,66851,High,Tax Saving,0.032,10.53,51.38,38.09
30,686257,8991,23251,Medium,Wealth Creation,0.131,13.96,66.36,19.68
29,474357,8854,132824,Medium,Retirement,0.133,4.49,63.52,31.99
23,300000,4840,26243,Medium,Wealth Creation,0.102,15.37,64.4,20.24
22,395651,6526,13053,Medium,Tax Saving,0.144,4.61,57.87,37.52
35,426235,7548,15096,High,Education,0.106,19.37,59.02,21.6
27,735304,22117,49326,Medium,Education,0.075,4.61,45.85,49.54
34,548641,9995,85881,Medium,Education,0.074,4.79,45.71,49.5
24,1116303,15278,59041,Medium,Short-Term,0.237,4.58,34.45,60.97
33,2058117,40741,81482,Medium,Retirement,0.069,4.78,62.73,32.5
42,1519267,21388,123416,Medium,Retirement,0.044,11.28,51.14,37.58
36,341959,9336,96300,Medium,Retirement,0.08,4.85,57.98,37.17
28,1646954,27572,178238,Medium,Wealth Creation,0.094,11.32,68.18,20.5
34,2062846,24236,119851,High,Education,0.171,19.86,61.18,18.96
30,709824,10885,21771,Medium,Retirement,0.117,4.5,63.93,31.57
32,1662251,21907,49095,Medium,Short-Term,0.189,4.58,36.37,59.04
29,491880,6435,32537,Medium,Education,0.051,4.54,44.48,50.98
30,300000,5673,31179,Medium,Retirement,0.091,4.6,64.49,30.91
33,502160,10875,27539,High,Retirement,0.051,13.24,66.96,19.8
24,1556057,32843,65687,Medium,Short-Term,0.103,4.66,32.49,62.85
23,300000,7790,15581,High,Wealth Creation,0.165,13.53,65.78,20.69
20,472155,14520,50715,Medium,Wealth Creation,0.123,11.85,67.58,20.56
19,438844,4507,26535,High,Wealth Creation,0.261,13.82,68.1,18.08
22,372346,6631,37960,Medium,Education,0.12,4.59,47.55,47.85
33,599205,6518,13036,Medium,Retirement,0.11,4.7,61.14,34.16
24,596758,8438,48236,Medium,Retirement,0.214,4.55,62.11,33.35
36,608585,7593,73336,High,Education,0.12,18.97,60.65,20.38
32,322483,6654,21445,Low,Property Purchase,0.139,23.34,44.39,32.27
18,455084,9574,61112,Medium,Emergency Fund,0.153,4.75,58.39,36.87
37,1677520,23574,75319,Medium,Wealth Creation,0.23,13.23,64.81,21.96
38,1536955,24844,49688,Low,Retirement,0.057,30.88,43.2,25.91
24,339103,6170,13400,High,Wealth Creation,0.126,15.3,64.52,20.18
35,393681,7378,38168,High,Wealth Creation,0.148,14.68,65.44,19.88
25,487978,5707,34238,Medium,Wealth Creation,0.097,15.47,64.15,20.38
32,1971322,35550,71101,Medium,Retirement,0.09,4.84,62.21,32.95
21,732271,9072,91221,Medium,Wealth Creation,0.128,15.18,65.2,19.61
18,610234,12977,136493,Medium,Retirement,0.231,4.63,63.52,31.85
28,1148610,28658,57316,High,Emergency Fund,0.096,13.96,67.82,18.22
31,933538,19057,143987,Medium,Emergency Fund,0.033,4.59,56.76,38.65
28,720780,8855,44652,High,Retirement,0.085,13.92,64.26,21.82
22,763595,16835,43831,Medium,Education,0.059,4.74,49.13,46.13
28,482802,7912,15824,Low,Retirement,0.08,21.71,52.61,25.69
34,344035,3501,37080,Medium,Retirement,0.094,4.71,62.97,32.32
31,1143475,15503,51830,High,Education,0.248,19.65,58.33,22.02
33,1652816,38626,77253,Medium,Retirement,0.063,4.75,62.09,33.15
26,314904,4973,46049,Low,Short-Term,0.112,31.94,31.85,36.21
41,1611833,24414,114471,Medium,Wealth Creation,0.198,15.77,64.23,20.0
22,1411164,30534,61069,Medium,Short-Term,0.119,4.53,34.85,60.62
35,846370,20621,75777,Medium,Emergency Fund,0.049,4.77,57.82,37.41
41,603797,14222,92087,Low,Tax Saving,0.095,25.72,36.05,38.23
35,911002,12128,29964,Medium,Wealth Creation,0.165,14.37,66.23,19.4
30,509909,7408,16977,High,Retirement,0.159,16.36,65.79,17.85
27,445051,7773,15546,Medium,Short-Term,0.136,4.5,31.56,63.94
40,1241333,31968,63936,Medium,Tax Saving,0.239,6.48,54.02,39.5
20,300000,6664,27287,Medium,Wealth Creation,0.182,12.74,70.01,17.24
24,300000,4463,8927,High,Wealth Creation,0.233,14.25,64.27,21.48
28,678294,10720,27587,Medium,Wealth Creation,0.187,11.68,66.39,21.93
41,984267,24950,125094,Low,Wealth Creation,0.106,21.73,50.68,27.59
35,1015027,17778,35556,Medium,Tax Saving,0.086,4.76,55.77,39.47
24,1714036,31469,196874,Medium,Short-Term,0.109,4.68,34.19,61.13
29,732459,14152,108748,Medium,Retirement,0.106,4.61,64.05,31.34
27,897906,26007,171323,Low,Tax Saving,0.083,16.16,43.9,39.94
26,338635,7530,66810,Medium,Wealth Creation,0.128,15.6,64.75,19.66
39,1499325,26716,97609,Low,Tax Saving,0.107,23.47,36.72,39.82
21,346835,3868,7737,Medium,Education,0.112,4.52,46.34,49.14
44,1118681,12604,112595,Medium,Wealth Creation,0.236,14.32,61.88,23.79
38,857756,12519,34213,High,Short-Term,0.122,22.31,45.6,32.09
40,1799374,18943,40807,Medium,Emergency Fund,0.011,6.25,53.19,40.56
28,300000,4749,13832,Low,Retirement,0.213,21.18,53.52,25.3
30,300000,5292,10585,High,Property Purchase,0.085,12.69,68.02,19.29
20,407673,7383,15290,Low,Emergency Fund,0.034,21.17,47.39,31.44
27,854463,15138,53596,High,Education,0.108,19.14,60.86,20.0
35,929924,14243,131959,Low,Wealth Creation,0.051,20.36,53.76,25.88
42,2113812,28682,92341,Medium,Wealth Creation,0.076,13.94,61.86,24.19
23,687180,14638,86028,Medium,Short-Term,0.085,4.68,33.72,61.6
29,482611,5030,10061,Medium,Education,0.077,4.6,44.95,50.44
30,300000,7458,64331,Medium,Wealth Creation,0.058,14.28,66.75,18.97
20,408354,4626,65148,High,Tax Saving,0.23,11.61,50.08,38.31
36,1608854,33298,313713,Low,Tax Saving,0.076,22.23,37.59,40.17
26,478345,10337,67016,Medium,Retirement,0.066,4.68,62.65,32.68
30,723105,15906,31812,Low,Education,0.052,26.11,40.52,33.37
28,849344,14906,39766,High,Short-Term,0.091,23.06,45.22,31.72
25,322001,5629,11258,High,Wealth Creation,0.024,12.9,66.8,20.3
31,1088041,17067,42445,Low,Wealth Creation,0.211,17.28,56.53,26.19
30,1887731,17358,78041,Medium,Emergency Fund,0.053,4.56,58.32,37.12
29,609083,14111,89522,Medium,Short-Term,0.11,4.55,34.04,61.41
26,306937,5451,16757,Medium,Short-Term,0.024,4.6,34.98,60.42
34,782022,17124,96037,Medium,Education,0.131,4.7,45.16,50.15
45,300000,4408,19871,Low,Retirement,0.147,38.74,38.32,22.94
33,952261,14138,28276,Low,Wealth Creation,0.078,19.08,55.91,25.01
39,1245147,19757,39515,Low,Emergency Fund,0.032,28.22,42.54,29.24
20,1289831,18270,117747,High,Short-Term,0.109,21.7,46.43,31.87
33,695676,16734,82168,High,Wealth Creation,0.109,11.91,66.49,21.6
23,677873,11515,36410,High,Wealth Creation,0.253,13.57,65.76,20.67
20,300000,7067,14135,High,Wealth Creation,0.022,12.53,67.17,20.3
26,486195,7311,53886,High,Wealth Creation,0.02,12.0,68.44,19.55
41,395818,9251,18503,Low,Wealth Creation,0.116,22.4,49.06,28.54
39,836318,14474,75143,Medium,Wealth Creation,0.058,14.71,65.02,20.28
33,664926,15374,39494,Medium,Wealth Creation,0.091,12.34,66.78,20.88
19,530663,5784,19768,Medium,Short-Term,0.037,4.49,34.5,61.01
30,488898,8490,43484,Medium,Wealth Creation,0.035,14.27,63.14,22.59
34,851893,13159,26319,Medium,Education,0.077,4.8,46.16,49.04
33,642773,11839,23679,Medium,Tax Saving,0.019,4.61,56.28,39.11
18,327852,8278,39466,High,Retirement,0.192,15.95,67.99,16.06
24,600189,10033,20066,High,Education,0.083,20.02,59.24,20.74
31,755327,16022,165056,Medium,Wealth Creation,0.19,14.09,65.08,20.84
36,1353492,19238,115897,Medium,Retirement,0.135,4.86,56.47,38.67
18,372068,7043,19273,High,Education,0.224,20.1,58.79,21.11
30,581695,12286,68603,Medium,Tax Saving,0.166,4.62,59.06,36.32
33,698563,11374,50399,Medium,Education,0.269,4.69,45.77,49.54
38,599137,13845,88066,Medium,Retirement,0.129,5.17,53.95,40.88
37,715991,9536,21762,Low,Retirement,0.231,31.0,43.71,25.29
36,2931219,53322,106644,Medium,Retirement,0.163,4.89,58.65,36.46
25,341222,8279,16558,Medium,Education,0.11,4.69,46.88,48.43
18,338414,7477,25173,Low,Wealth Creation,0.016,14.44,58.29,27.26
28,532113,8036,37473,Low,Short-Term,0.149,34.72,27.38,37.9
40,819342,9387,28598,High,Emergency Fund,0.128,12.57,67.04,20.39
43,843279,14434,32568,Low,Retirement,0.216,37.98,39.39,22.63
37,1054828,17824,139025,Medium,Emergency Fund,0.132,5.54,56.76,37.7
35,300000,4597,9195,Medium,Emergency Fund,0.09,4.75,55.98,39.27
35,1538880,24028,48056,Medium,Tax Saving,0.188,4.82,57.78,37.4
27,933652,14942,37012,Low,Wealth Creation,0.191,16.97,58.91,24.12
30,343453,6930,27373,Medium,Wealth Creation,0.094,13.17,67.28,19.56
45,300000,4633,37450,Medium,Property Purchase,0.205,11.39,49.34,39.26
24,312419,6233,76126,High,Wealth Creation,0.267,15.06,66.34,18.6
44,927574,11479,37030,Low,Retirement,0.044,38.58,39.33,22.09
29,3000000,50359,142473,Medium,Wealth Creation,0.16,15.76,63.25,20.99
42,1406251,20864,163866,Medium,Emergency Fund,0.091,5.75,54.1,40.15
20,300000,3094,7720,Low,Wealth Creation,0.1,16.88,59.45,23.67
36,573325,7897,15795,Medium,Wealth Creation,0.047,13.8,64.7,21.5
26,583708,11931,92773,Medium,Short-Term,0.049,4.55,34.3,61.15
20,543714,5883,46114,Medium,Wealth Creation,0.069,13.93,67.26,18.81
33,360634,6736,13473,High,Education,0.133,19.61,61.66,18.72
40,877836,12209,46571,Low,Education,0.027,37.21,33.63,29.16
25,377732,8332,21732,Medium,Short-Term,0.079,4.73,33.16,62.12
20,300000,3658,25560,Medium,Emergency Fund,0.182,4.37,57.7,37.94
31,854942,11934,23869,Low,Education,0.169,27.53,38.87,33.6
31,1165385,27276,106338,High,Wealth Creation,0.023,12.13,66.61,21.26
36,1423916,16718,74310,Low,Wealth Creation,0.033,21.19,53.29,25.52
39,1326667,33272,76047,Low,Emergency Fund,0.156,26.79,43.88,29.33
31,547674,7432,73079,Medium,Emergency Fund,0.164,4.69,56.2,39.11
46,1721232,14954,35059,Low,Tax Saving,0.117,26.32,31.83,41.85
33,956788,21007,42015,Low,Wealth Creation,0.041,19.68,55.7,24.62
29,737678,11226,73958,High,Wealth Creation,0.079,12.89,65.65,21.46
19,300000,6372,17237,Medium,Short-Term,0.037,4.58,35.56,59.86
29,517666,11697,23395,Medium,Wealth Creation,0.183,15.13,66.13,18.73
29,713670,7667,27642,High,Wealth Creation,0.074,12.57,66.75,20.68
39,3000000,30022,86003,Medium,Tax Saving,0.027,4.95,53.76,41.29
35,1009403,21875,125732,High,Retirement,0.122,13.29,65.62,21.09
22,356293,5047,10095,High,Wealth Creation,0.075,12.14,67.14,20.71
33,476063,12431,58150,High,Education,0.113,16.07,61.41,22.52
37,658354,10358,64466,Low,Wealth Creation,0.147,20.12,54.16,25.72
44,3000000,68381,136762,Low,Wealth Creation,0.164,24.64,47.14,28.23
39,729923,15172,83851,Medium,Wealth Creation,0.073,13.65,66.46,19.89
38,1554523,19709,79508,Low,Short-Term,0.125,42.32,26.09,31.6
32,608144,16153,39362,High,Short-Term,0.155,24.33,44.75,30.91
35,968081,16257,55145,Low,Wealth Creation,0.126,21.09,54.72,24.18
41,1607930,31861,63722,Low,Wealth Creation,0.276,24.18,49.09,26.73
21,343022,6135,17352,Low,Short-Term,0.076,33.62,28.2,38.18
29,462936,12402,40011,High,Education,0.158,19.58,59.7,20.73
25,1611144,43375,122899,High,Property Purchase,0.019,10.71,67.98,21.31
35,1490915,18660,131578,High,Wealth Creation,0.164,14.01,64.56,21.43
41,1600698,22768,92040,Low,Emergency Fund,0.019,29.22,40.87,29.91
27,1011354,13006,89908,High,Wealth Creation,0.133,14.45,63.55,22.0
18,527004,5591,15752,Medium,Wealth Creation,0.034,14.01,66.61,19.38
28,2240128,30986,156557,High,Wealth Creation,0.297,16.13,62.45,21.42
39,957593,11081,43566,Low,Short-Term,0.124,42.65,28.23,29.13
36,1212462,26277,104679,Medium,Education,0.078,5.04,45.15,49.81
35,349899,3306,23923,Low,Wealth Creation,0.037,19.45,55.33,25.22
29,423053,5597,11194,High,Tax Saving,0.08,11.06,49.97,38.97
21,300000,5338,22303,Low,Wealth Creation,0.139,17.07,58.71,24.22
36,1832188,36532,131366,Low,Wealth Creation,0.192,17.44,56.53,26.03
25,300000,4922,31800,High,Retirement,0.071,14.01,65.64,20.34
49,932292,13480,66110,Low,Tax Saving,0.204,26.87,34.19,38.94
36,300000,5701,26768,High,Property Purchase,0.079,15.21,66.69,18.1
27,384933,6782,25900,Medium,Wealth Creation,0.061,13.47,64.97,21.55
27,467560,10794,74155,Medium,Wealth Creation,0.084,14.74,66.15,19.11
31,1678907,28186,225782,Medium,Short-Term,0.13,4.6,32.66,62.74
30,890739,15733,43745,Low,Education,0.13,30.31,37.93,31.76
40,590444,10686,40074,Low,Education,0.168,35.63,34.53,29.84
33,1492438,17846,187007,Medium,Retirement,0.162,4.63,61.44,33.93
26,610167,11306,22613,Medium,Wealth Creation,0.085,14.96,67.2,17.84
47,1153804,25925,83286,Medium,Wealth Creation,0.019,16.27,55.71,28.02
32,369271,6052,12104,Low,Tax Saving,0.23,20.12,40.46,39.42
38,498979,7771,34347,Medium,Retirement,0.125,4.91,54.18,40.91
27,383004,3841,7682,Low,Tax Saving,0.107,18.38,42.69,38.93
34,845877,13264,26528,Medium,Retirement,0.1,4.78,62.77,32.45
34,851079,21943,43886,Medium,Emergency Fund,0.183,4.73,56.17,39.1
18,1010216,13227,47000,Medium,Wealth Creation,0.103,12.39,66.9,20.71
48,1452735,25536,131235,Low,Emergency Fund,0.229,33.67,35.06,31.27
42,300000,4824,9649,Low,Tax Saving,0.119,26.58,33.74,39.68
28,785012,10005,20011,High,Wealth Creation,0.085,12.13,67.47,20.4
23,300000,2876,13944,Medium,Wealth Creation,0.094,14.03,66.45,19.53
34,459035,8803,17607,Low,Wealth Creation,0.058,19.99,54.38,25.63
32,471362,8288,44792,High,Tax Saving,0.161,9.95,52.26,37.79
34,551522,8295,48330,High,Retirement,0.12,14.87,66.3,18.83
33,345436,6214,15658,Medium,Wealth Creation,0.172,16.09,64.95,18.96
36,961786,8531,18757,Medium,Property Purchase,0.093,4.97,55.94,39.1
43,445847,8459,22498,Low,Education,0.287,37.85,33.25,28.9
36,1069700,15472,30944,Low,Tax Saving,0.121,21.75,40.39,37.86
23,2067053,54281,115810,High,Education,0.139,18.55,60.32,21.13
42,460541,8279,34451,Low,Retirement,0.063,33.2,40.83,25.98
45,908932,14512,69140,Low,Tax Saving,0.037,26.69,34.53,38.78
50,300000,3803,7685,Medium,Short-Term,0.072,25.23,25.61,49.17
23,438522,9793,19586,Low,Education,0.053,27.85,39.89,32.26
33,1174339,35164,97577,Low,Retirement,0.071,21.96,51.07,26.97
18,616370,16653,33306,Low,Property Purchase,0.146,18.91,50.46,30.63
36,901520,14720,58990,Medium,Tax Saving,0.146,4.84,55.36,39.8
27,1091805,19179,51655,High,Wealth Creation,0.07,13.2,67.21,19.59
47,3000000,58619,117239,Low,Retirement,0.138,39.27,36.51,24.22
25,1662493,22466,44932,Medium,Education,0.017,4.44,46.27,49.29
18,301240,6007,19282,Low,Wealth Creation,0.043,17.22,58.19,24.59
28,300000,3251,13494,Medium,Wealth Creation,0.091,13.04,66.09,20.87
18,313491,9655,48672,Low,Short-Term,0.045,31.45,31.19,37.36
38,510019,8662,73054,Low,Wealth Creation,0.187,18.64,53.43,27.93
18,524409,10612,21225,Medium,Tax Saving,0.133,4.59,58.1,37.3
32,372008,4687,12757,High,Tax Saving,0.064,9.5,53.02,37.49
18,382898,9400,70976,High,Property Purchase,0.126,10.37,69.01,20.62
29,1134105,15973,31946,High,Wealth Creation,0.193,12.99,68.35,18.66
45,1015434,10939,21879,Low,Wealth Creation,0.133,26.01,46.76,27.23
34,465964,10453,58797,Medium,Short-Term,0.089,4.87,33.88,61.24
25,1168238,35959,246556,High,Education,0.154,21.42,59.82,18.76
31,300000,5759,57807,Low,Retirement,0.089,23.15,52.84,24.01
32,619051,6325,58500,Low,Wealth Creation,0.038,14.92,58.19,26.89
35,823677,14755,29511,Medium,Short-Term,0.119,4.85,34.44,60.7
21,481199,10017,34483,Medium,Short-Term,0.067,4.5,33.64,61.85
36,967853,15089,68358,Medium,Short-Term,0.084,4.89,34.53,60.58
18,576934,14078,53477,Low,Retirement,0.027,20.4,54.4,25.2
26,610905,17432,113560,Medium,Education,0.05,4.67,47.6,47.73
28,523082,9925,19850,High,Short-Term,0.095,22.26,46.33,31.41
37,686476,10222,33735,Medium,Short-Term,0.034,4.96,36.17,58.87
32,522790,9098,53126,Low,Emergency Fund,0.141,22.9,47.34,29.76
20,752114,16513,33027,High,Wealth Creation,0.126,12.8,68.7,18.5
24,375194,5814,11628,Medium,Tax Saving,0.211,4.73,60.74,34.53
33,1312595,27198,119513,Medium,Retirement,0.069,4.85,61.56,33.6
31,742603,6464,28392,Medium,Retirement,0.037,4.79,63.67,31.53
27,463855,6861,71216,Medium,Short-Term,0.003,4.61,34.67,60.72
28,947566,17158,47203,High,Wealth Creation,0.058,13.71,66.75,19.54
37,574722,8207,21061,Low,Retirement,0.098,31.3,43.58,25.12
27,948065,16141,108972,High,Wealth Creation,0.25,14.83,66.56,18.61
31,832087,15907,36886,Medium,Education,0.151,4.63,45.05,50.32
49,827863,10122,49194,Medium,Tax Saving,0.058,15.11,44.97,39.91
20,638923,8812,39981,High,Education,0.196,19.31,58.84,21.85
18,555249,15781,92734,Medium,Short-Term,0.149,4.45,34.55,60.99
38,1815912,26331,146926,Low,Emergency Fund,0.086,26.4,44.26,29.34
26,1096770,13592,76774,Medium,Property Purchase,0.031,4.55,58.62,36.83
29,921640,22303,95340,Medium,Wealth Creation,0.041,13.71,67.01,19.27
25,301851,6278,35399,Medium,Retirement,0.237,4.54,64.83,30.63
29,3000000,68412,178551,Medium,Wealth Creation,0.027,14.06,64.86,21.08
44,460803,9892,24502,Low,Wealth Creation,0.146,24.69,48.93,26.38
38,1609164,36123,266394,Medium,Retirement,0.054,7.88,55.82,36.3
38,1194876,32373,228409,Medium,Wealth Creation,0.1,14.28,67.73,17.99
20,300000,5981,23510,Low,Tax Saving,0.066,18.16,42.77,39.07
22,482414,11578,43177,Medium,Education,0.295,4.7,44.66,50.64
18,381538,9971,24224,Low,Wealth Creation,0.169,15.61,60.66,23.74
25,1287280,13008,119267,High,Wealth Creation,0.088,13.38,68.33,18.29
39,613584,12765,25531,High,Short-Term,0.144,24.91,45.4,29.7
36,729273,12523,116316,Medium,Emergency Fund,0.197,4.79,56.73,38.48
30,300000,3563,7179,High,Emergency Fund,0.046,10.91,67.7,21.39
31,2111104,44030,211190,Low,Wealth Creation,0.239,20.1,55.72,24.18
26,322084,5668,20952,Medium,Education,0.195,4.44,45.71,49.86
33,962355,17689,74612,High,Tax Saving,0.121,10.84,50.16,39.0
38,849860,15362,142010,Medium,Wealth Creation,0.095,14.27,65.26,20.47
19,402448,7918,20653,High,Education,0.255,19.69,59.83,20.49
34,1316674,26194,53188,Medium,Retirement,0.145,4.84,62.16,33.0
39,2552664,38158,116173,High,Wealth Creation,0.065,15.46,64.84,19.7
28,775614,8722,17444,Medium,Short-Term,0.067,4.43,35.1,60.47
37,1318731,26976,107837,Medium,Short-Term,0.198,5.07,33.27,61.65
50,1461782,20792,92985,Low,Retirement,0.039,40.42,37.29,22.28
31,1342612,15321,62643,Low,Tax Saving,0.063,19.83,41.62,38.56
35,627699,5875,55459,High,Wealth Creation,0.057,14.44,68.36,17.19
26,1148413,22292,47714,Medium,Short-Term,0.06,4.5,33.34,62.17
33,1530844,37481,558301,Medium,Retirement,0.152,4.86,63.63,31.51
